name,address
"Zunyuan Restaurant",""
"Chi Star Restaurant",""
"Uncle Seven Noodle",""
"Isaan Der",""
"Yan's Kitchen",""
"Gaima Rice Bowl",""
"Uncle Qiang BBQ",""
"Awesome",""
"Jumbo Lobster","9019, Leslie Street, Richmond Hill, ON, L4B 4A3"
"Shinta Japanese BBQ",""
"Richlane Chinese Cuisine",""
"Epic Pita Richmond Hill","16, Vogell Road, Richmond Hill, L4B 3K4"
"Turtle Jacks Muskoka Grill","10, Vogell Road, Richmond Hill, L4B 3K4"
"Fraticelli Italian Grill and Bar","10, Vogell Road, Richmond Hill, L4B 3K4"
"Congee Wong 天皇名粥","1, Spadina Road, Richmond Hill, Ontario, L4B 3M2"
"Haru","10, East Wilmot Street, Richmond Hill, ON, L4B 1G9"
"Bali Restaurant","10, East Wilmot Street, Richmond Hill, ON, L4B 1G9"
"Magic Noodles",""
"Komo Shokudo",""
"Golden Flower Cafe","1, Spadina Road, Richmond Hill, Ontario, L4B 3M2"
"Ming Cuisine","1, Spadina Road, Richmond Hill, Ontario, L4B 3M2"
"Northern Cafe",""
"The Keg","1977, Leslie Street, Toronto, M3B 2M3"
"Hamaru Sushi",""
"Jerusalem Restaurant","4778, Leslie Street"
"Peking Man Restaurant",""
"SunShine Spot","796, Sheppard Avenue East, North York"
"Bow Thai",""
"Congee Wong","11, Ravel Road, Toronto, Ontario, M2J 2X2"
"Chinese Halal Restaurant",""
"Joyous Chinese Cuisine","5505, Leslie Street, North York, Ontario, M2H 3N6"
"Ming Lou","10, Ravel Road, North York"
"He He Long BBQ Takeout",""
"Hot Spicy Spicy","173, Ravel Road, North York, ON"
"tuanzhang",""
"cross-the-bridge noodle",""
"Ko-Sam",""
"Marlowe Restaurant & Wine Bar","155, York Boulevard"
"Jack Astor's","York Boulevard"
"Bombay Bhel","230, Commerce Valley Drive East, Thornhill, on, L3T 7Y3"
"Baton Rouge",""
"Host Fine Indian Cuisine",""
"Moxie's","159, York Boulevard"
"Congee Queen",""
"KIKU Japanese Cuisine",""
"CHAKO","163, York Boulevard, Richmond Hill, L4B 4A7"
"Caffe Demetre","100, York Boulevard, Richmond Hill, L4B 1J8"
"Dragon Boat Fusion Cuisine",""
"Chongqing Liyuahu Hotpot",""
"Lone Star Texas Grill",""
"Scaddabush",""
"Dayali","160, York Boulevard"
"Novità Italian Cuisine",""
"Touro Brazilian Steakhouse",""
"Hana Don","9255, Woodbine Avenue, Markham, Ontario, L6C 1Y9"
"Mr. Greek","861, York Mills Road, North York"
"Pizza Hut","861, York Mills Road, North York"
"Kiku",""
"Big Smoke Burger","799, York Mills Road, North York"
"Darband","879, York Mills Road, North York, M3B 1Y5"
"Windfields Restaurant",""
"Freshii","861, York Mills Road, North York"
"Captain's Boil","865, York Mills Road, North York"
"Via Cibo",""
"Gilaneh","900, York Mills Road, North York, M3B 3H2"
"Robo Sushi","865, York Mills Road, North York, M3B 1Y6"
"Me Va Me",""
"Dragon Pearl",""
"Thai one on",""
"Casa Manila",""
"Dim Sum Kwan",""
"Cucina Di Paisano","856, York Mills Road, North York, ON, M3B 1Y6"
"Taftan Kebob","856, York Mills Road, North York, ON, M3B 1Y6"
"David Duncan House",""
"Tekka Sushi",""
"Saigon Express Pho",""
"Viva Shawarma",""
"India Waale",""
"St. Louis Bar & Grill","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Hana Don Japanese Cuisine and Bar","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Moxie's","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Heart Sushi","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Grass Mountain Villa Seafood",""
"Hickory House Restaurant",""
"Tasty BBQ Seafood Restaurant","3555, Don Mills Road"
"Mizuki Sushi",""
"Deer Garden Signatures",""
"3A Noodle",""
"Pizza Hut","3555, Don Mills Road, North York"
"Sam's Congee Delight",""
"Gold Mark Chinese Restaurant",""
"Anju Korean Kitchen",""
"Makirrito",""
"Carmelina Restaurant",""
"Phoenix Restaurant","7155, Woodbine Avenue, Markham, L3R 1A3"
"Gyubee Japanese Grill","7100, Woodbine Avenue, Markham, L3R 5J2"
"Oshio Japanese Restaurant",""
"Lobster Port Restaurant",""
"QJD Peking Duck",""
"Taro Fish",""
"Lucky Seafood House",""
"Cravins Caribbean Grill",""
"Ritzy Palace Chinese Cuisine",""
"Hattendo 八天堂",""
